Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           109.44          165.62
10.04           109.34          165.07
10.08           109.24          164.37
10.12           109.13          163.53
10.17           109.02          162.56
10.21           108.92          161.45
10.25           108.81          160.21
10.29           108.70          158.86
10.33           108.47          156.83
10.38           108.24          154.43
10.42           107.99          151.67
10.46           107.74          148.56
10.50           107.48          145.12
10.55           107.22          141.36
10.59           106.95          137.30
10.64           106.68          132.98
10.68           106.40          128.42
10.72           106.11          123.64
10.77           105.82          118.69
10.81           105.53          113.59
10.86           105.23          108.36
10.90           104.93          103.04
10.95           104.63          97.67
10.99           104.32          92.28
11.04           104.01          86.90
11.08           103.70          81.56
11.13           103.39          76.30
11.17           103.07          71.17
11.22           102.76          66.19
11.26           102.44          61.40
11.31           102.13          56.85
11.36           101.82          52.57
11.40           101.51          48.61
11.45           101.20          45.00
11.50           100.89          41.79
11.55           100.58          39.00
11.59           100.28          36.66
11.64           99.98           34.80
11.69           99.69           33.43
11.74           99.40           32.58
11.78           99.12           32.24
11.83           98.84           32.43
11.88           98.57           33.14
11.93           98.30           34.38
11.98           98.04           36.12
12.03           97.78           38.35
12.08           97.54           41.06
12.13           97.29           44.21
12.18           97.06           47.78
12.23           96.83           51.73
12.28           96.61           56.04
12.33           96.39           60.66
12.38           96.19           65.56
12.43           95.98           70.72
12.48           95.79           76.09
12.53           95.60           81.63
12.58           95.42           87.32
12.64           95.24           93.10
12.69           95.07           98.94
12.74           94.91           104.80
12.79           94.76           110.64
12.85           94.61           116.42
12.90           94.46           122.08
12.95           94.33           127.61
13.00           94.20           132.94
13.06           94.08           138.07
13.11           93.96           142.94
13.17           93.85           147.53
13.22           93.75           151.82
13.27           93.66           155.78
13.33           93.57           159.39
13.38           93.49           162.64
13.44           93.41           165.50
13.49           93.34           167.97
13.55           93.28           170.04
13.61           93.22           171.69
13.66           93.17           172.94
13.72           93.13           173.78
13.77           93.09           174.20
13.83           93.06           174.21
13.89           93.04           173.81
13.94           93.02           172.99
14.00           93.01           171.75
