Freq[Hz]        [dBSPL]         Phase[Deg]
10.00           99.49           -95.68
10.04           99.48           -98.05
10.08           99.48           -100.37
10.12           99.49           -102.64
10.17           99.51           -104.86
10.21           99.54           -107.03
10.25           99.57           -109.16
10.29           99.62           -111.25
10.33           99.67           -115.65
10.38           99.75           -119.93
10.42           99.86           -124.08
10.46           100.00          -128.11
10.50           100.16          -132.03
10.55           100.34          -135.82
10.59           100.55          -139.51
10.64           100.78          -143.10
10.68           101.03          -146.60
10.72           101.30          -150.02
10.77           101.58          -153.36
10.81           101.88          -156.65
10.86           102.18          -159.88
10.90           102.50          -163.06
10.95           102.82          -166.22
10.99           103.15          -169.35
11.04           103.48          -172.47
11.08           103.81          -175.60
11.13           104.14          -178.73
11.17           104.47          178.11
11.22           104.79          174.91
11.26           105.10          171.67
11.31           105.40          168.36
11.36           105.69          164.98
11.40           105.97          161.51
11.45           106.24          157.94
11.50           106.48          154.26
11.55           106.71          150.46
11.59           106.92          146.53
11.64           107.10          142.46
11.69           107.27          138.24
11.74           107.41          133.88
11.78           107.54          129.36
11.83           107.64          124.70
11.88           107.71          119.88
11.93           107.77          114.92
11.98           107.80          109.82
12.03           107.81          104.57
12.08           107.79          99.20
12.13           107.76          93.71
12.18           107.70          88.12
12.23           107.62          82.42
12.28           107.53          76.65
12.33           107.41          70.80
12.38           107.28          64.90
12.43           107.12          58.95
12.48           106.95          52.97
12.53           106.77          46.97
12.58           106.57          40.96
12.64           106.35          34.97
12.69           106.12          29.00
12.74           105.88          23.07
12.79           105.63          17.20
12.85           105.37          11.40
12.90           105.09          5.69
12.95           104.81          0.07
13.00           104.53          -5.44
13.06           104.23          -10.83
13.11           103.93          -16.10
13.17           103.63          -21.24
13.22           103.33          -26.25
13.27           103.02          -31.14
13.33           102.71          -35.91
13.38           102.40          -40.57
13.44           102.10          -45.11
13.49           101.79          -49.56
13.55           101.49          -53.94
13.61           101.19          -58.25
13.66           100.89          -62.52
13.72           100.60          -66.77
13.77           100.31          -71.03
13.83           100.02          -75.31
13.89           99.74           -79.64
13.94           99.47           -84.04
14.00           99.20           -88.54
14.06           98.94           -93.16
14.12           98.69           -97.94
14.18           98.44           -102.88
14.23           98.20           -108.04
14.29           97.97           -113.42
14.35           97.75           -119.05
14.41           97.54           -124.95
14.47           97.34           -131.13
14.53           97.15           -137.60
14.59           96.97           -144.36
14.65           96.80           -151.39
14.71           96.65           -158.70
14.77           96.50           -166.26
14.83           96.37           -174.04
14.89           96.25           177.98
14.95           96.13           169.84
15.01           96.03           161.59
15.08           95.95           153.28
15.14           95.87           144.97
15.20           95.80           136.71
15.26           95.73           128.59
15.33           95.68           120.67
15.39           95.64           113.02
15.45           95.60           105.71
15.52           95.57           98.81
15.58           95.54           92.42
15.64           95.52           86.59
15.71           95.50           81.42
15.77           95.49           76.97
15.84           95.47           73.30
15.90           95.47           70.47
15.97           95.46           68.50
16.03           95.45           67.44
16.10           95.45           67.28
16.17           95.45           68.04
16.23           95.44           69.70
16.30           95.44           72.23
16.37           95.44           75.60
16.43           95.43           79.75
16.50           95.43           84.62
16.57           95.42           90.12
16.64           95.41           96.17
16.70           95.40           102.64
16.77           95.40           109.43
16.84           95.39           116.41
16.91           95.38           123.46
16.98           95.36           130.46
17.05           95.35           137.27
17.12           95.34           143.77
17.19           95.33           149.82
17.26           95.31           155.32
17.33           95.29           160.17
17.40           95.27           164.28
17.48           95.25           167.57
17.55           95.22           170.00
17.62           95.19           171.52
17.69           95.15           172.11
17.77           95.10           171.74
17.84           95.04           170.44
17.91           94.97           168.22
17.99           94.88           165.12
18.06           94.77           161.20
18.13           94.65           156.52
18.21           94.50           151.19
18.28           94.33           145.30
18.36           94.13           138.95
18.43           93.91           132.26
18.51           93.65           125.33
18.59           93.36           118.28
18.66           93.03           111.20
18.74           92.67           104.18
18.82           92.26           97.33
18.89           91.82           90.70
18.97           91.34           84.38
19.05           90.81           78.42
19.13           90.24           72.87
19.21           89.63           67.77
19.29           88.97           63.15
19.37           88.26           59.03
19.44           87.50           55.42
19.52           86.70           52.31
19.61           85.86           49.70
19.69           84.99           47.57
19.77           84.09           45.87
19.85           83.17           44.57
19.93           82.25           43.64
20.01           81.35           43.04
20.09           80.47           42.74
20.18           79.64           42.70
20.26           78.88           42.88
20.34           78.20           43.27
20.43           77.63           43.84
20.51           77.19           44.55
20.59           76.88           45.40
20.68           76.71           46.35
20.76           76.67           47.39
20.85           76.76           48.51
20.94           76.95           49.70
21.02           77.22           50.94
21.11           77.55           52.23
21.20           77.92           53.56
21.28           78.30           54.94
21.37           78.68           56.36
21.46           79.04           57.83
21.55           79.37           59.33
21.63           79.66           60.87
21.72           79.92           62.46
21.81           80.13           64.10
21.90           80.30           65.79
21.99           80.43           67.54
22.08           80.52           69.35
22.17           80.56           71.24
22.27           80.57           73.20
22.36           80.53           75.25
22.45           80.44           77.41
22.54           80.32           79.68
22.63           80.16           82.08
22.73           79.96           84.63
22.82           79.73           87.33
22.91           79.48           90.21
23.01           79.23           93.28
23.10           78.97           96.53
23.20           78.71           99.98
23.29           78.47           103.61
23.39           78.26           107.42
23.49           78.07           111.39
23.58           77.91           115.50
23.68           77.79           119.72
23.78           77.71           124.03
23.87           77.65           128.39
23.97           77.62           132.76
24.07           77.60           137.08
24.17           77.60           141.31
24.27           77.59           145.38
24.37           77.57           149.24
24.47           77.54           152.83
24.57           77.49           156.14
24.67           77.41           159.12
24.77           77.32           161.77
24.88           77.19           164.08
24.98           77.04           166.05
25.08           76.86           167.72
25.18           76.66           169.12
25.29           76.43           170.27
25.39           76.18           171.26
25.50           75.91           172.13
25.60           75.63           172.98
25.71           75.36           173.90
25.81           75.10           174.99
25.92           74.88           176.34
26.02           74.71           178.03
26.13           74.61           -179.87
26.24           74.60           -177.30
26.35           74.67           -174.22
26.45           74.82           -170.59
26.56           75.06           -166.41
26.67           75.35           -161.65
26.78           75.69           -156.33
26.89           76.04           -150.47
27.00           76.39           -144.10
27.11           76.72           -137.27
27.23           77.01           -130.04
27.34           77.26           -122.51
27.45           77.45           -114.75
27.56           77.60           -106.85
27.68           77.69           -98.93
27.79           77.73           -91.07
27.90           77.73           -83.38
28.02           77.68           -75.97
28.14           77.58           -68.97
28.25           77.42           -62.47
28.37           77.22           -56.62
28.48           76.96           -51.54
28.60           76.65           -47.36
28.72           76.30           -44.18
28.84           75.92           -42.07
28.96           75.52           -41.09
29.07           75.12           -41.24
29.19           74.75           -42.51
29.31           74.40           -44.86
29.43           74.10           -48.20
29.56           73.84           -52.42
29.68           73.63           -57.37
29.80           73.45           -62.86
29.92           73.28           -68.68
30.04           73.13           -74.58
30.17           72.97           -80.35
30.29           72.79           -85.76
30.42           72.59           -90.64
30.54           72.36           -94.87
30.67           72.09           -98.36
30.79           71.78           -101.10
30.92           71.42           -103.10
31.05           71.01           -104.47
31.18           70.54           -105.36
31.30           70.00           -105.96
31.43           69.38           -106.53
31.56           68.70           -107.35
31.69           67.94           -108.66
31.82           67.13           -110.69
31.95           66.29           -113.64
32.08           65.47           -117.65
32.22           64.69           -122.77
32.35           63.99           -129.00
32.48           63.41           -136.24
32.62           62.98           -144.33
32.75           62.70           -153.01
32.88           62.56           -161.96
33.02           62.55           -170.85
33.16           62.64           -179.32
33.29           62.79           172.99
33.43           62.98           166.45
33.57           63.19           161.38
33.70           63.38           158.05
33.84           63.54           156.63
33.98           63.67           157.26
34.12           63.75           159.99
34.26           63.78           164.81
34.40           63.75           171.64
34.54           63.66           -179.70
34.69           63.52           -169.45
34.83           63.32           -157.91
